VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,RateCodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,year,is_covid_rel
1,2011-09-23 21:55:49,2011-09-23 21:59:16,1.0,0.7,224,107,1.0,N,credit_card,4.1,0.5,0.5,1.0,0.0,0.0,6.1,2011,False
2,2011-09-10 14:56:00,2011-09-10 15:01:00,1.0,0.95,263,237,1.0,,credit_card,4.9,0.0,0.5,0.6,0.0,0.0,6.0,2011,False
2,2011-09-12 15:46:00,2011-09-12 16:20:00,2.0,11.59,68,138,1.0,,cash,28.9,0.0,0.5,0.0,4.8,0.0,34.2,2011,False
1,2011-09-17 23:38:04,2011-09-17 23:42:30,1.0,1.6,238,142,1.0,N,cash,5.7,0.5,0.5,0.0,0.0,0.0,6.7,2011,False
2,2011-10-09 16:48:00,2011-10-09 16:55:00,1.0,1.47,170,90,1.0,,cash,6.1,0.0,0.5,0.0,0.0,0.0,6.6,2011,False
2,2011-10-13 10:28:00,2011-10-13 10:39:00,1.0,2.0,113,162,1.0,,cash,8.1,0.0,0.5,0.0,0.0,0.0,8.6,2011,False
2,2011-10-11 09:55:00,2011-10-11 10:04:00,1.0,1.65,236,237,1.0,,credit_card,7.3,0.0,0.5,1.2,0.0,0.0,9.0,2011,False
1,2011-10-24 20:30:10,2011-10-24 20:36:14,1.0,1.2,140,162,1.0,N,cash,5.7,0.5,0.5,0.0,0.0,0.0,6.7,2011,False
1,2011-10-22 13:27:28,2011-10-22 13:40:05,3.0,1.9,231,261,1.0,N,cash,8.9,0.0,0.5,0.0,0.0,0.0,9.4,2011,False
2,2011-10-06 10:11:00,2011-10-06 10:29:00,1.0,1.73,143,161,1.0,,credit_card,10.1,0.0,0.5,1.0,0.0,0.0,11.6,2011,False
2,2011-10-04 21:23:00,2011-10-04 21:32:00,2.0,1.83,162,107,1.0,,credit_card,7.3,0.5,0.5,1.2,0.0,0.0,9.5,2011,False
2,2011-10-18 08:47:00,2011-10-18 08:57:00,2.0,1.82,186,163,1.0,,cash,8.1,0.0,0.5,0.0,0.0,0.0,8.6,2011,False
1,2011-10-27 12:53:18,2011-10-27 13:22:32,2.0,2.6,140,170,1.0,N,cash,16.1,0.0,0.5,0.0,0.0,0.0,16.6,2011,False
2,2011-10-18 12:15:00,2011-10-18 12:28:00,1.0,1.56,264,264,1.0,,credit_card,6.9,0.0,0.5,1.6,0.0,0.0,9.0,2011,False
1,2011-11-07 21:01:52,2011-11-07 21:20:51,1.0,12.5,170,171,1.0,N,credit_card,27.7,0.5,0.5,6.7,4.8,0.0,40.2,2011,False
2,2011-11-04 11:49:00,2011-11-04 12:19:00,5.0,10.83,264,264,1.0,,cash,27.7,0.0,0.5,0.0,0.0,0.0,28.2,2011,False
1,2011-11-10 18:33:55,2011-11-10 18:48:34,2.0,0.8,142,230,1.0,N,cash,8.5,1.0,0.5,0.0,0.0,0.0,10.0,2011,False
1,2011-11-23 09:40:49,2011-11-23 10:58:34,1.0,32.6,53,170,1.0,N,cash,76.9,0.0,0.5,0.0,4.8,0.0,82.2,2011,False
1,2011-11-28 23:20:16,2011-11-28 23:29:19,1.0,3.0,163,107,1.0,N,credit_card,9.3,0.5,0.5,1.0,0.0,0.0,11.3,2011,False
1,2011-11-23 18:54:25,2011-11-23 19:19:00,3.0,1.8,170,48,1.0,N,cash,13.3,1.0,0.5,0.0,0.0,0.0,14.8,2011,False
1,2011-11-11 06:22:09,2011-11-11 06:31:29,1.0,2.8,236,100,1.0,N,credit_card,8.9,0.0,0.5,1.85,0.0,0.0,11.25,2011,False
1,2011-11-15 09:21:00,2011-11-15 09:36:38,1.0,3.8,75,137,1.0,N,cash,12.1,0.0,0.5,0.0,0.0,0.0,12.6,2011,False
1,2011-11-02 10:08:01,2011-11-02 10:23:41,1.0,1.4,87,231,1.0,N,cash,8.9,0.0,0.5,0.0,0.0,0.0,9.4,2011,False
2,2011-11-21 13:25:00,2011-11-21 13:40:00,1.0,3.14,48,263,1.0,,cash,10.9,0.0,0.5,0.0,0.0,0.0,11.4,2011,False
1,2011-12-12 09:24:28,2011-12-12 09:29:49,1.0,0.8,163,142,1.0,N,credit_card,4.9,0.0,0.5,1.0,0.0,0.0,6.4,2011,False
2,2011-12-23 09:38:00,2011-12-23 09:51:00,1.0,3.25,140,74,1.0,,cash,10.1,0.0,0.5,0.0,0.0,0.0,10.6,2011,False
2,2011-12-16 14:09:00,2011-12-16 14:16:00,2.0,0.84,107,170,1.0,,credit_card,5.7,0.0,0.5,1.0,0.0,0.0,7.2,2011,False
1,2011-12-02 19:04:45,2011-12-02 19:28:30,1.0,4.1,90,236,1.0,N,credit_card,14.9,1.0,0.5,3.28,0.0,0.0,19.68,2011,False
1,2011-12-05 08:40:45,2011-12-05 08:51:20,1.0,1.2,162,43,1.0,N,credit_card,7.3,0.0,0.5,1.55,0.0,0.0,9.35,2011,False
1,2011-12-06 17:16:45,2011-12-06 17:23:35,1.0,1.1,163,143,1.0,N,cash,6.1,1.0,0.5,0.0,0.0,0.0,7.6,2011,False
2,2011-12-12 23:03:00,2011-12-12 23:31:00,1.0,4.64,237,144,1.0,,credit_card,16.9,0.5,0.5,3.48,0.0,0.0,21.38,2011,False
1,2011-12-01 12:15:28,2011-12-01 12:18:29,1.0,0.3,88,87,1.0,N,cash,3.7,0.0,0.5,0.0,0.0,0.0,4.2,2011,False
2,2011-12-20 15:21:00,2011-12-20 15:56:00,1.0,17.62,132,74,2.0,,cash,45.0,0.0,0.5,0.0,4.8,0.0,50.3,2011,False
2,2011-12-03 21:03:00,2011-12-03 21:15:00,1.0,1.25,144,234,1.0,,cash,7.7,0.5,0.5,0.0,0.0,0.0,8.7,2011,False
2,2012-01-07 22:43:00,2012-01-07 22:54:00,1.0,3.65,141,226,1.0,,cash,10.5,0.5,0.5,0.0,0.0,0.0,11.5,2012,False
1,2012-01-16 12:20:17,2012-01-16 12:23:54,1.0,0.4,236,237,1.0,N,cash,4.1,0.0,0.5,0.0,0.0,0.0,4.6,2012,False
2,2012-01-22 10:47:00,2012-01-22 10:50:00,1.0,0.59,141,141,1.0,,cash,3.7,0.0,0.5,0.0,0.0,0.0,4.2,2012,False
1,2012-01-17 07:45:18,2012-01-17 07:56:38,1.0,2.4,261,249,1.0,N,cash,8.9,0.0,0.5,0.0,0.0,0.0,9.4,2012,False
2,2012-01-19 11:54:00,2012-01-19 12:03:00,2.0,0.72,230,163,1.0,,credit_card,5.7,0.0,0.5,2.0,0.0,0.0,8.2,2012,False
1,2012-01-08 11:10:26,2012-01-08 11:35:31,1.0,18.1,132,107,2.0,N,credit_card,45.0,0.0,0.5,10.06,4.8,0.0,60.36,2012,False
2,2012-01-16 12:26:00,2012-01-16 12:44:00,1.0,2.39,142,43,1.0,,cash,10.9,0.0,0.5,0.0,0.0,0.0,11.4,2012,False
1,2012-01-02 18:48:53,2012-01-02 18:52:11,1.0,1.3,113,211,1.0,N,credit_card,4.9,1.0,0.5,2.0,0.0,0.0,8.4,2012,False
2,2012-01-03 17:28:00,2012-01-03 17:36:00,6.0,3.74,4,88,1.0,,credit_card,10.1,1.0,0.5,2.0,0.0,0.0,13.6,2012,False
2,2012-01-05 17:36:00,2012-01-05 17:42:00,5.0,0.48,230,230,1.0,,cash,4.9,1.0,0.5,0.0,0.0,0.0,6.4,2012,False
1,2012-02-10 21:18:30,2012-02-10 21:26:01,1.0,0.9,79,234,1.0,N,credit_card,5.7,0.5,0.5,1.0,0.0,0.0,7.7,2012,False
1,2012-02-20 00:15:58,2012-02-20 00:31:30,1.0,4.4,163,260,1.0,N,cash,13.7,0.5,0.5,0.0,0.0,0.0,14.7,2012,False
1,2012-02-13 23:14:51,2012-02-13 23:21:02,1.0,2.2,68,163,1.0,N,credit_card,7.3,0.5,0.5,1.7,0.0,0.0,10.0,2012,False
1,2012-02-13 00:26:01,2012-02-13 00:31:01,1.0,1.5,264,264,1.0,N,credit_card,5.7,0.5,0.5,1.0,0.0,0.0,7.7,2012,False
2,2012-02-26 09:07:00,2012-02-26 09:29:00,2.0,9.88,230,138,1.0,,cash,23.7,0.0,0.5,0.0,4.8,0.0,29.0,2012,False
1,2012-02-12 22:18:36,2012-02-12 22:26:20,2.0,1.6,68,211,1.0,N,credit_card,6.5,0.5,0.5,1.0,0.0,0.0,8.5,2012,False
2,2012-02-21 07:36:00,2012-02-21 07:44:00,1.0,2.29,79,264,1.0,,cash,7.7,0.0,0.5,0.0,0.0,0.0,8.2,2012,False
2,2012-02-28 20:36:00,2012-02-28 20:44:00,1.0,1.28,100,161,1.0,,cash,6.5,0.5,0.5,0.0,0.0,0.0,7.5,2012,False
2,2012-02-04 21:41:00,2012-02-04 21:57:00,1.0,3.36,113,50,1.0,,credit_card,10.9,0.5,0.5,2.85,0.0,0.0,14.75,2012,False
2,2012-02-03 18:47:00,2012-02-03 18:53:00,2.0,1.3,249,186,1.0,,cash,5.3,1.0,0.5,0.0,0.0,0.0,6.8,2012,False
1,2012-03-07 17:42:11,2012-03-07 17:47:15,1.0,0.8,164,234,1.0,N,cash,4.9,1.0,0.5,0.0,0.0,0.0,6.4,2012,False
1,2012-03-07 00:53:40,2012-03-07 01:00:09,2.0,1.2,230,162,1.0,N,cash,5.7,0.5,0.5,0.0,0.0,0.0,6.7,2012,False
1,2012-03-27 08:51:21,2012-03-27 08:59:05,1.0,1.6,158,246,1.0,N,credit_card,6.9,0.0,0.5,1.48,0.0,0.0,8.88,2012,False
2,2012-03-30 09:31:00,2012-03-30 09:56:00,1.0,3.56,143,143,1.0,,credit_card,14.1,0.0,0.5,4.23,0.0,0.0,18.83,2012,False
2,2012-03-05 12:29:00,2012-03-05 12:32:00,5.0,0.7,170,233,1.0,,credit_card,4.1,0.0,0.5,2.0,0.0,0.0,6.6,2012,False
1,2012-03-07 08:58:58,2012-03-07 09:05:14,1.0,0.9,170,164,1.0,N,credit_card,5.3,0.0,0.5,1.16,0.0,0.0,6.96,2012,False
1,2012-03-18 14:26:49,2012-03-18 14:31:02,1.0,1.3,239,151,1.0,N,credit_card,5.3,0.0,0.5,1.16,0.0,0.0,6.96,2012,False
2,2012-03-26 20:28:00,2012-03-26 20:43:00,5.0,3.97,107,33,1.0,,cash,12.5,0.5,0.5,0.0,0.0,0.0,13.5,2012,False
2,2012-03-03 15:48:00,2012-03-03 15:53:00,1.0,0.06,43,265,1.0,,cash,4.9,0.0,0.5,0.0,0.0,0.0,5.4,2012,False
1,2012-03-22 11:19:57,2012-03-22 11:27:57,1.0,2.0,170,142,1.0,N,cash,7.3,0.0,0.5,0.0,0.0,0.0,7.8,2012,False
1,2012-04-08 10:09:35,2012-04-08 10:16:57,1.0,1.1,229,163,1.0,N,cash,5.7,0.0,0.5,0.0,0.0,0.0,6.2,2012,False
2,2012-04-09 10:03:00,2012-04-09 10:13:00,5.0,1.62,143,239,1.0,,credit_card,7.3,0.0,0.5,1.5,0.0,0.0,9.3,2012,False
1,2012-04-07 14:22:07,2012-04-07 14:34:51,1.0,1.4,170,170,1.0,N,credit_card,8.1,0.0,0.5,0.0,0.0,0.0,8.6,2012,False
1,2012-04-24 14:14:52,2012-04-24 14:33:10,1.0,3.1,90,237,1.0,N,cash,11.7,0.0,0.5,0.0,0.0,0.0,12.2,2012,False
2,2012-04-26 03:37:00,2012-04-26 03:50:00,1.0,6.64,148,257,1.0,,cash,16.1,0.5,0.5,0.0,0.0,0.0,17.1,2012,False
1,2012-04-13 12:43:37,2012-04-13 12:56:23,1.0,1.8,163,100,1.0,N,cash,8.5,0.0,0.5,0.0,0.0,0.0,9.0,2012,False
1,2012-04-29 19:14:44,2012-04-29 19:37:45,1.0,10.6,138,65,1.0,N,credit_card,24.5,0.0,0.5,5.0,0.0,0.0,30.0,2012,False
1,2012-04-29 10:18:23,2012-04-29 10:29:17,1.0,2.8,234,87,1.0,N,credit_card,8.9,0.0,0.5,2.82,0.0,0.0,12.22,2012,False
2,2012-04-30 23:54:00,2012-05-01 00:02:00,1.0,2.98,138,129,1.0,,cash,8.9,0.5,0.5,0.0,0.0,0.0,9.9,2012,False
1,2012-04-09 22:08:58,2012-04-09 22:14:08,2.0,0.9,79,211,1.0,N,credit_card,4.9,0.5,0.5,1.18,0.0,0.0,7.08,2012,False
1,2012-05-22 00:48:19,2012-05-22 00:53:26,2.0,1.7,239,230,1.0,N,credit_card,6.1,0.5,0.5,1.42,0.0,0.0,8.52,2012,False
1,2012-05-31 23:33:50,2012-05-31 23:41:57,1.0,1.2,79,144,1.0,N,cash,6.5,0.5,0.5,0.0,0.0,0.0,7.5,2012,False
